taxon	metabolite	spearman_rho	p_value	n_samples	correlation_fdr	abs_rho	correlation_direction	taxon_label	metabolite_label
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	HILn_QI31979	0.4016217600584389	2.17281632136665e-5	105	0.003684340718839102	0.4016217600584389	positive	Anaerotruncus	HILn QI31979
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	C18n_QI4874	-0.400150336660423	2.3436978725649625e-5	105	0.003808509042918064	0.400150336660423	negative	Ruminococcus	C18n QI4874
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	C18n_QI4874	0.3981596937108492	2.594989948023339e-5	105	0.004048184318916409	0.3981596937108492	positive	Propionibacterium	C18n QI4874
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	C18n_QI2228	-0.39642256644213386	2.834692505856444e-5	105	0.004059931484473209	0.39642256644213386	negative	Faecalibacterium	C18n QI2228
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI846	-0.39599408044002377	2.896927414547048e-5	105	0.004059931484473209	0.39599408044002377	negative	Anaerotruncus	C18n QI846
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	C18n_QI413	0.3958724680790783	2.9148226042371757e-5	105	0.004059931484473209	0.3958724680790783	positive	Odoribacter	C18n QI413
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	HILn_QI27528	-0.3947432987804568	3.0859940934767036e-5	105	0.0041501299877790155	0.3947432987804568	negative	Dorea	HILn QI27528
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	HILp_QI3766	0.39277420692515025	3.407201468923922e-5	105	0.004370974324291341	0.39277420692515025	positive	Faecalibacterium	HILp QI3766
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	C8p_QI7970	0.3919596703574891	3.549006623245367e-5	105	0.004370974324291341	0.3919596703574891	positive	Coprobacillus	C8p QI7970
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	C8p_QI8001	0.3917497304929701	3.586440471213408e-5	105	0.004370974324291341	0.3917497304929701	positive	Dorea	C8p QI8001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	C18n_QI11343	0.39023429400787885	3.8678125101884694e-5	105	0.004571051148404555	0.39023429400787885	positive	Dorea	C18n QI11343
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	C8p_QI21618	0.38900478297914454	4.1111261643957856e-5	105	0.004715703541512813	0.38900478297914454	positive	Coprobacillus	C8p QI21618
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	HILp_QI15737	0.3877779126699956	4.368121762903162e-5	105	0.0048425829921614275	0.3877779126699956	positive	Dorea	HILp QI15737
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	HILp_QI2095	0.38720713249015126	4.492733327514506e-5	105	0.0048425829921614275	0.38720713249015126	positive	Dorea	HILp QI2095
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	C18n_QI382	0.3867529896018659	4.594245402819816e-5	105	0.0048425829921614275	0.3867529896018659	positive	Coprobacillus	C18n QI382
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	C18n_QI3682	0.3857208759692737	4.832971266952263e-5	105	0.004960154721345744	0.3857208759692737	positive	Odoribacter	C18n QI3682
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	HILp_QI4213	-0.3837900040637928	5.310985865591027e-5	105	0.005210677247982427	0.3837900040637928	negative	Anaerotruncus	HILp QI4213
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	C18n_QI11341	0.38366162139747045	5.344284356905053e-5	105	0.005210677247982427	0.38366162139747045	positive	Dorea	C18n QI11341
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	C18n_QI4874	0.3810888936250509	6.054077221920641e-5	105	0.005758756381826951	0.3810888936250509	positive	Lactobacillus	C18n QI4874
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	C18n_QI736	0.3803649181007671	6.269128045501796e-5	105	0.005821333185108811	0.3803649181007671	positive	Faecalibacterium	C18n QI736
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	C18n_QI1728	0.37669673450977426	7.47256629121581e-5	105	0.0064808749346581115	0.37669673450977426	positive	Ruminococcus	C18n QI1728
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	C18n_QI1028	0.37663342313564324	7.495111228539369e-5	105	0.0064808749346581115	0.37663342313564324	positive	Faecalibacterium	C18n QI1028
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	HILp_QI3606	0.3760245735297483	7.715178876981675e-5	105	0.0064808749346581115	0.3760245735297483	positive	Faecalibacterium	HILp QI3606
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	C18n_QI2086	0.37511500911127726	8.055175743059721e-5	105	0.0064808749346581115	0.37511500911127726	positive	Faecalibacterium	C18n QI2086
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI1309	-0.37466404381227797	8.22887402169756e-5	105	0.0064808749346581115	0.37466404381227797	negative	Anaerotruncus	C18n QI1309
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	C18n_QI8008	0.3742920406139987	8.374777004705964e-5	105	0.0064808749346581115	0.3742920406139987	positive	Dorea	C18n QI8008
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI413	0.3741804675478101	8.419004286043751e-5	105	0.0064808749346581115	0.3741804675478101	positive	Anaerotruncus	C18n QI413
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	C8p_QI21618	0.3741715250286305	8.422558474791421e-5	105	0.0064808749346581115	0.3741715250286305	positive	Escherichia	C8p QI21618
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	C18n_QI1872	0.37404001051579655	8.4749902991683e-5	105	0.0064808749346581115	0.37404001051579655	positive	Alistipes	C18n QI1872
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	C18n_QI2095	0.37247241558495675	9.123801192456649e-5	105	0.006800261291078378	0.37247241558495675	positive	Odoribacter	C18n QI2095
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	HILn_QI26736	0.3721994887475431	9.241380728901385e-5	105	0.006800261291078378	0.3721994887475431	positive	Anaerotruncus	HILn QI26736
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI8231	-0.37098704237771596	9.780959997963248e-5	105	0.006983917114039522	0.37098704237771596	negative	Anaerotruncus	C18n QI8231
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI2228	0.37083834989417125	9.849113878773685e-5	105	0.006983917114039522	0.37083834989417125	positive	Anaerotruncus	C18n QI2228
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	C18n_QI8231	0.36908880027635643	1.0684904280839574e-4	105	0.007378942335788237	0.36908880027635643	positive	Dorea	C18n QI8231
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	HILp_QI3060	0.3688886585113	1.0784608029228962e-4	105	0.007378942335788237	0.3688886585113	positive	Faecalibacterium	HILp QI3060
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI8934	-0.3681596939697706	1.1155111303294253e-4	105	0.007500850703939239	0.3681596939697706	negative	Anaerotruncus	C18n QI8934
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	C8p_QI7970	0.36764686974941313	1.1422810444110116e-4	105	0.007550671310513467	0.36764686974941313	positive	Escherichia	C8p QI7970
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI7436	-0.3661740132245422	1.2225216488959188e-4	105	0.007946390717823472	0.3661740132245422	negative	Anaerotruncus	C18n QI7436
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	HILn_QI26736	-0.36373521983863005	1.3669884407144147e-4	105	0.008716485027168168	0.36373521983863005	negative	Dorea	HILn QI26736
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	C18n_QI8815	0.3631618369332043	1.4031801334270008e-4	105	0.008716485027168168	0.3631618369332043	positive	Coprobacillus	C18n QI8815
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	HILn_QI25565	-0.36276450494223994	1.4287789677037266e-4	105	0.008716485027168168	0.36276450494223994	negative	Coprobacillus	HILn QI25565
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	C18n_QI1056	0.3627396048370437	1.4303975429199046e-4	105	0.008716485027168168	0.3627396048370437	positive	Faecalibacterium	C18n QI1056
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	HILp_QI9275	0.3618583603510046	1.4887885106865307e-4	105	0.008932731064119185	0.3618583603510046	positive	Faecalibacterium	HILp QI9275
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	C18n_QI762	0.3612232133799224	1.532235851317943e-4	105	0.008966146793317	0.3612232133799224	positive	Odoribacter	C18n QI762
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI2042	-0.3610628296084958	1.5433913670212396e-4	105	0.008966146793317	0.3610628296084958	negative	Anaerotruncus	C18n QI2042
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	C18n_QI2095	-0.3607106765990409	1.568150177963153e-4	105	0.008966146793317	0.3607106765990409	negative	Veillonella	C18n QI2095
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	C18n_QI1872	-0.36045553022811233	1.586318278817623e-4	105	0.008966146793317	0.36045553022811233	negative	Veillonella	C18n QI1872
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI2917	0.35999212497998345	1.6198158202766302e-4	105	0.009024688141541226	0.35999212497998345	positive	Anaerotruncus	C18n QI2917
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	C18n_QI11958	-0.3594982266659848	1.6562386468351375e-4	105	0.009097648905150756	0.3594982266659848	negative	Akkermansia	C18n QI11958
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	C8p_QI6409	-0.35554422872797364	1.9763910539956174e-4	105	0.010609178560122097	0.35554422872797364	negative	Barnesiella	C8p QI6409
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	HILn_QI26736	-0.35543701874399364	1.9858206022792642e-4	105	0.010609178560122097	0.35543701874399364	negative	Faecalibacterium	HILn QI26736
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	C18n_QI11350	0.3544681733360978	2.0729429627164433e-4	105	0.010769974412525942	0.3544681733360978	positive	Dorea	C18n QI11350
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	HILp_QI15738	-0.35436795718958775	2.0821538177973872e-4	105	0.010769974412525942	0.35436795718958775	negative	Anaerotruncus	HILp QI15738
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI1784	-0.35418826456562297	2.0987642444922347e-4	105	0.010769974412525942	0.35418826456562297	negative	Anaerotruncus	C18n QI1784
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	HILp_QI12296	-0.3536138130164609	2.1526914927654292e-4	105	0.010825139308255363	0.3536138130164609	negative	Anaerotruncus	HILp QI12296
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	C18n_QI4874	0.35348427459775783	2.1650278616510725e-4	105	0.010825139308255363	0.35348427459775783	positive	Escherichia	C18n QI4874
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	C18n_QI11343	-0.35163798465685253	2.348115393764381e-4	105	0.011359237039648943	0.35163798465685253	negative	Odoribacter	C18n QI11343
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	C18n_QI903	0.35157273629366664	2.3548402814925354e-4	105	0.011359237039648943	0.35157273629366664	positive	Faecalibacterium	C18n QI903
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI2095	0.3515302750188835	2.3592261543886267e-4	105	0.011359237039648943	0.3515302750188835	positive	Anaerotruncus	C18n QI2095
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	C18n_QI2402	0.3505251816600214	2.465274418989389e-4	105	0.011725085651290997	0.3505251816600214	positive	Dorea	C18n QI2402
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	HILp_QI2095	-0.34979266017001864	2.5453200998549195e-4	105	0.011959937818595405	0.34979266017001864	negative	Anaerotruncus	HILp QI2095
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	HILp_QI15738	0.34950528400279957	2.5773735526264153e-4	105	0.011966377208622644	0.34950528400279957	positive	Dorea	HILp QI15738
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	HILp_QI1233	0.3491706406800746	2.615168889087851e-4	105	0.011999010196991317	0.3491706406800746	positive	Dorea	HILp QI1233
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	C18n_QI7436	-0.3480421706388789	2.7464274625845837e-4	105	0.012375136072623655	0.3480421706388789	negative	Odoribacter	C18n QI7436
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	C18n_QI2086	0.34768906201926336	2.788732560007759e-4	105	0.012375136072623655	0.34768906201926336	positive	Dorea	C18n QI2086
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	HILn_QI25565	0.34747703232002486	2.814423598422973e-4	105	0.012375136072623655	0.34747703232002486	positive	Odoribacter	HILn QI25565
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	C8p_QI10300	0.34739788513373415	2.824069514008988e-4	105	0.012375136072623655	0.34739788513373415	positive	Coprobacillus	C8p QI10300
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	HILn_QI27528	0.3466157674394364	2.921043167208035e-4	105	0.012416841774426389	0.3466157674394364	positive	Anaerotruncus	HILn QI27528
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	C18n_QI8008	-0.346415550662329	2.9463570674089087e-4	105	0.012416841774426389	0.346415550662329	negative	Odoribacter	C18n QI8008
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	C18n_QI762	-0.34637986077552024	2.9508906318418364e-4	105	0.012416841774426389	0.34637986077552024	negative	Dorea	C18n QI762
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	C18n_QI3682	-0.3460346704955978	2.9950724149161855e-4	105	0.012416841774426389	0.3460346704955978	negative	Dorea	C18n QI3682
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI762	0.3460127107111004	2.997903650541734e-4	105	0.012416841774426389	0.3460127107111004	positive	Anaerotruncus	C18n QI762
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	C18n_QI3804	0.34580646508059876	3.0246153040269406e-4	105	0.012416841774426389	0.34580646508059876	positive	Faecalibacterium	C18n QI3804
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	HILp_QI12296	0.34524762919364654	3.0980998067874126e-4	105	0.012586030465073863	0.34524762919364654	positive	Dorea	HILp QI12296
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	C18n_QI873	0.3446402653949823	3.1798307863934594e-4	105	0.01271098482904428	0.3446402653949823	positive	Coprobacillus	C18n QI873
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	C18n_QI7436	-0.3445361278505756	3.1940423416572806e-4	105	0.01271098482904428	0.3445361278505756	negative	Bilophila	C18n QI7436
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	C18n_QI1872	0.3433149581894436	3.365122488253293e-4	105	0.013256543135543274	0.3433149581894436	positive	Ruminococcus	C18n QI1872
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI11349	-0.3406178726933443	3.773311945127349e-4	105	0.014616497998819757	0.3406178726933443	negative	Anaerotruncus	C18n QI11349
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	C8p_QI2513	0.3405428116510566	3.785298199694347e-4	105	0.014616497998819757	0.3405428116510566	positive	Propionibacterium	C8p QI2513
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	HILp_QI3032	0.34023792873569103	3.834345310855323e-4	105	0.014660732070917412	0.34023792873569103	positive	Dorea	HILp QI3032
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	C18n_QI11958	0.3397528324465831	3.913591300823794e-4	105	0.01481845249826485	0.3397528324465831	positive	Faecalibacterium	C18n QI11958
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	C18n_QI13348	-0.33867684418605	4.0947764094972206e-4	105	0.015292259825838966	0.33867684418605	negative	Coprobacillus	C18n QI13348
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	C18n_QI2320	-0.3385470478617719	4.1171468761874133e-4	105	0.015292259825838966	0.3385470478617719	negative	Faecalibacterium	C18n QI2320
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	HILp_QI2095	0.33830603358905237	4.1589843800152556e-4	105	0.01530192366232028	0.33830603358905237	positive	Faecalibacterium	HILp QI2095
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	C18n_QI413	-0.3380498109331237	4.203890632766787e-4	105	0.0153225920259724	0.3380498109331237	negative	Faecalibacterium	C18n QI413
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	C18n_QI745	0.3377339110903521	4.259870039228741e-4	105	0.015382864030548232	0.3377339110903521	positive	Dorea	C18n QI745
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	C18n_QI3278	0.3367581897215456	4.43713284430085e-4	105	0.015846680545241482	0.3367581897215456	positive	Odoribacter	C18n QI3278
